case:concept:name;case:flops;case:num_kernels
algorithm87;3.45e+08;8
algorithm83;3.45e+08;8
algorithm57;3.45e+08;8
algorithm40;3.45e+08;8
algorithm65;3.45e+08;8
algorithm8;3.44e+08;8
algorithm64;3.45e+08;8
algorithm0;3.44e+08;8
algorithm53;3.45e+08;8
algorithm46;3.45e+08;8
algorithm49;3.45e+08;8
algorithm96;3.45e+08;8
algorithm56;3.45e+08;8
algorithm54;3.45e+08;8
algorithm39;3.45e+08;8
algorithm14;3.44e+08;8
algorithm10;3.44e+08;8
algorithm93;3.45e+08;8
algorithm72;3.45e+08;8
algorithm91;3.45e+08;8
algorithm2;3.44e+08;8
algorithm36;3.45e+08;8
algorithm97;3.45e+08;8
algorithm59;3.45e+08;8
algorithm6;3.44e+08;8
algorithm95;3.45e+08;8
algorithm70;3.45e+08;8
algorithm55;3.45e+08;8
algorithm31;3.45e+08;8
algorithm62;3.45e+08;8
algorithm69;3.45e+08;8
algorithm4;3.44e+08;8
algorithm9;3.44e+08;8
algorithm33;3.45e+08;8
algorithm74;3.45e+08;6
algorithm99;3.45e+08;8
algorithm41;3.45e+08;8
algorithm26;3.44e+08;8
algorithm7;3.44e+08;8
algorithm51;3.45e+08;8
algorithm1;3.44e+08;8
algorithm17;3.44e+08;8
algorithm11;3.44e+08;8
algorithm42;3.45e+08;8
algorithm15;3.44e+08;8
algorithm52;3.45e+08;8
algorithm24;3.44e+08;8
algorithm67;3.45e+08;8
algorithm20;3.44e+08;8
algorithm60;3.45e+08;8
algorithm94;3.45e+08;8
algorithm5;3.44e+08;8
algorithm84;3.45e+08;8
algorithm58;3.45e+08;8
algorithm50;3.45e+08;8
algorithm88;3.45e+08;8
algorithm37;3.45e+08;8
algorithm73;3.45e+08;8
algorithm82;3.45e+08;8
algorithm79;3.45e+08;8
algorithm29;3.45e+08;8
algorithm19;3.44e+08;8
algorithm32;3.45e+08;8
algorithm61;3.45e+08;8
algorithm80;3.45e+08;8
algorithm48;3.45e+08;8
algorithm45;3.45e+08;8
algorithm68;3.45e+08;8
algorithm92;3.45e+08;8
algorithm34;3.45e+08;8
algorithm44;3.45e+08;8
algorithm22;3.44e+08;8
algorithm12;3.44e+08;8
algorithm89;3.45e+08;8
algorithm43;3.45e+08;8
algorithm13;3.44e+08;8
algorithm90;3.45e+08;8
algorithm76;3.45e+08;6
algorithm85;3.45e+08;8
algorithm77;3.45e+08;7
algorithm75;3.45e+08;6
algorithm78;3.45e+08;7
algorithm30;3.45e+08;8
algorithm23;3.44e+08;8
algorithm71;3.45e+08;8
algorithm3;3.44e+08;8
algorithm86;3.45e+08;8
algorithm47;3.45e+08;8
algorithm27;3.45e+08;8
algorithm66;3.45e+08;8
algorithm35;3.45e+08;8
algorithm25;3.44e+08;8
algorithm38;3.45e+08;8
algorithm16;3.44e+08;8
algorithm18;3.44e+08;8
algorithm28;3.45e+08;8
algorithm81;3.45e+08;8
algorithm63;3.45e+08;8
algorithm21;3.44e+08;8
algorithm98;3.45e+08;8
