case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm85_113;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791765883281e9;1.671791765901969e9
algorithm85_113;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791765901969e9;1.671791765902652e9
algorithm85_113;syrk_1e+05;1e+05;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.671791765902652e9;1.671791765902723e9
algorithm85_113;trsv_1e+06;1e+06;tmp68 = (L7^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.671791765902723e9;1.671791765903004e9
algorithm85_113;ml3 = qr_2.67e+03;2.67e+03;(Q16 R17) = tmp14;ml3 = qr!(ml3);1.671791765903004e9;1.671791765905638e9
algorithm85_113;gemm_2e+05;2e+05;tmp86 = (Q16^T tmp12^T);gemm!('T', 'T', 1.0, ml4, ml0, 0.0, ml5);1.671791765905638e9;1.671791765905681e9
algorithm85_113;trsm_1e+05;1e+05;tmp87 = (R17^-1 tmp86);trsm!('L', 'U', 'N', 'N', 1.0, ml6, ml5);1.671791765905681e9;1.671791765905738e9
algorithm85_113;gemv_2e+04;2e+04;tmp24 = (tmp87 tmp68);gemv!('N', 1.0, ml5, ml2, 0.0, ml7);1.671791765905738e9;1.671791765905803e9
algorithm38_119;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791765912711e9;1.671791765915504e9
algorithm38_119;trsv_1e+06;1e+06;tmp68 = (L7^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.671791765915504e9;1.671791765915791e9
algorithm38_119;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791765915791e9;1.671791765916242e9
algorithm38_119;gemm_2e+05;2e+05;tmp14 = (tmp12^T tmp12);gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);1.671791765916242e9;1.671791765916295e9
algorithm38_119;ml3 = qr_2.67e+03;2.67e+03;(Q16 R17) = tmp14;ml3 = qr!(ml3);1.671791765916295e9;1.671791765916331e9
algorithm38_119;gemv_2e+04;2e+04;tmp21 = (tmp12^T tmp68);gemv!('T', 1.0, ml0, ml2, 0.0, ml4);1.671791765916331e9;1.671791765916349e9
algorithm38_119;gemv_200;200;tmp25 = (Q16^T tmp21);gemv!('T', 1.0, ml5, ml4, 0.0, ml6);1.671791765916349e9;1.671791765916351e9
algorithm38_119;trsv_100;100;tmp24 = (R17^-1 tmp25);trsv!('U', 'N', 'N', ml7, ml6);1.671791765916351e9;1.67179176591636e9
algorithm70_117;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791765932585e9;1.671791765935492e9
algorithm70_117;trsm_1e+07;1e+07;tmp12 = (L7^-1 X);trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);1.671791765935492e9;1.671791765936088e9
algorithm70_117;syrk_1e+05;1e+05;tmp14 = (tmp12^T tmp12);syrk!('L', 'T', 1.0, ml0, 0.0, ml3);1.671791765936088e9;1.671791765936117e9
algorithm70_117;ml4, ml3 = LAPACK.syev_3.43e+03;3.43e+03;(Z18 W19 Z18^T) = tmp14;ml4, ml3 = LAPACK.syev!('V', 'L', ml3);1.671791765936117e9;1.671791765938765e9
algorithm70_117;trsv_1e+06;1e+06;tmp68 = (L7^-1 y);trsv!('L', 'N', 'N', ml1, ml2);1.671791765938765e9;1.671791765939045e9
algorithm70_117;gemm_2e+05;2e+05;tmp477 = (Z18^T tmp12^T);gemm!('T', 'T', 1.0, ml3, ml0, 0.0, ml5);1.671791765939045e9;1.671791766052461e9
algorithm70_117;gemv_1e+04;1e+04;tmp478 = (W19^-1 tmp477);gemv!('N', 1.0, ml5, ml2, 0.0, ml6);1.671791766052461e9;1.671791766052501e9
algorithm70_117;gemv_2e+04;2e+04;tmp269 = (tmp478 tmp68);gemv!('N', 1.0, ml3, ml6, 0.0, ml7);1.671791766052501e9;1.671791766052503e9
algorithm35_112;LAPACK.potrf_3.33e+08;3.33e+08;(L7 L7^T) = M;LAPACK.potrf!('L', ml1);1.671791766054291e9;1.67179176605687e9
