case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm87;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 14:10:36.044360
algorithm87;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 14:10:37.044360
algorithm87;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 14:10:38.044360
algorithm87;gemm_2e+07;2e+07;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-23 14:10:39.044360
algorithm87;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-23 14:10:40.044360
algorithm87;trsm_1e+07;1e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2022-12-23 14:10:41.044360
algorithm87;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp23 = (tmp70^T tmp68);2022-12-23 14:10:42.044360
algorithm87;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-23 14:10:43.044360
algorithm83;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 14:03:56.044360
algorithm83;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 14:03:57.044360
algorithm83;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 14:03:58.044360
algorithm83;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-23 14:03:59.044360
algorithm83;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-23 14:04:00.044360
algorithm83;trsm_1e+07;1e+07;trsm!('R', 'L', 'T', 'N', 1.0, ml3, ml0);tmp70 = (tmp12 L15^-T);2022-12-23 14:04:01.044360
algorithm83;trsm_1e+07;1e+07;trsm!('R', 'L', 'N', 'N', 1.0, ml3, ml0);tmp72 = (tmp70 L15^-1);2022-12-23 14:04:02.044360
algorithm83;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp24 = (tmp72^T tmp68);2022-12-23 14:04:03.044360
algorithm57;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:20:36.044360
algorithm57;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:20:37.044360
algorithm57;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:20:38.044360
algorithm57;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml3);tmp21 = (tmp12^T tmp68);2022-12-23 13:20:39.044360
algorithm57;gemm_2e+07;2e+07;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-23 13:20:40.044360
algorithm57;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-23 13:20:41.044360
algorithm57;trsv_1e+04;1e+04;trsv!('L', 'N', 'N', ml4, ml3);tmp23 = (L15^-1 tmp21);2022-12-23 13:20:42.044360
algorithm57;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml4, ml3);tmp24 = (L15^-T tmp23);2022-12-23 13:20:43.044360
algorithm40;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-23 12:52:16.044360
algorithm40;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 12:52:17.044360
algorithm40;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 12:52:18.044360
algorithm40;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-23 12:52:19.044360
algorithm40;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 12:52:20.044360
algorithm40;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-23 12:52:21.044360
algorithm40;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp21 = (tmp56 tmp71);2022-12-23 12:52:22.044360
algorithm40;ml4 = qr_2.67e+06;2.67e+06;ml4 = qr!(ml4);(Q16 R17) = tmp14;2022-12-23 12:52:23.044360
algorithm40;gemv_2e+04;2e+04;gemv!('T', 1.0, ml6, ml5, 0.0, ml7);tmp25 = (Q16^T tmp21);2022-12-23 12:52:24.044360
algorithm40;trsv_1e+04;1e+04;trsv!('U', 'N', 'N', ml8, ml7);tmp24 = (R17^-1 tmp25);2022-12-23 12:52:25.044360
algorithm65;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-23 13:33:56.044360
algorithm65;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:33:57.044360
algorithm65;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:33:58.044360
algorithm65;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-23 13:33:59.044360
algorithm65;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:34:00.044360
algorithm65;trsv_1e+06;1e+06;trsv!('L', 'T', 'N', ml1, ml2);tmp71 = (L2^-T tmp68);2022-12-23 13:34:01.044360
algorithm65;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-23 13:34:02.044360
algorithm65;trsm_1e+07;1e+07;trsm!('L', 'L', 'N', 'N', 1.0, ml4, ml3);tmp219 = (L15^-1 tmp56);2022-12-23 13:34:03.044360
algorithm65;gemv_2e+05;2e+05;gemv!('N', 1.0, ml3, ml2, 0.0, ml5);tmp23 = (tmp219 tmp71);2022-12-23 13:34:04.044360
algorithm65;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml4, ml5);tmp24 = (L15^-T tmp23);2022-12-23 13:34:05.044360
algorithm8;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 11:58:56.044360
algorithm8;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 11:58:57.044360
algorithm8;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 11:58:58.044360
algorithm8;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-23 11:58:59.044360
algorithm8;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp21 = (tmp12^T tmp68);2022-12-23 11:59:00.044360
algorithm8;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-23 11:59:01.044360
algorithm8;trsv_1e+04;1e+04;trsv!('L', 'N', 'N', ml3, ml4);tmp23 = (L15^-1 tmp21);2022-12-23 11:59:02.044360
algorithm8;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-23 11:59:03.044360
algorithm64;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-23 13:32:16.044360
algorithm64;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:32:17.044360
algorithm64;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:32:18.044360
algorithm64;syrk_1e+07;1e+07;syrk!('L', 'T', 1.0, ml0, 0.0, ml4);tmp14 = (tmp12^T tmp12);2022-12-23 13:32:19.044360
algorithm64;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:32:20.044360
algorithm64;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml4);(L15 L15^T) = tmp14;2022-12-23 13:32:21.044360
