case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm3_10;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670005389424648e9;1.670005389424732e9
algorithm3_10;gemm_1.2e+05;1.2e+05;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.670005389424732e9;1.670005389424764e9
algorithm3_10;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670005389424764e9;1.67000538942484e9
algorithm1_12;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389425053e9;1.670005389425649e9
algorithm1_12;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670005389425649e9;1.670005389425674e9
algorithm1_12;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.670005389425674e9;1.670005389425736e9
algorithm2_10;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670005389426093e9;1.670005389426099e9
algorithm2_10;gemm_9.72e+04;9.72e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.670005389426099e9;1.670005389426118e9
algorithm2_10;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670005389426118e9;1.670005389426226e9
algorithm5_12;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670005389426578e9;1.670005389426638e9
algorithm5_12;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.670005389426638e9;1.670005389426761e9
algorithm5_12;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670005389426761e9;1.670005389426856e9
algorithm4_10;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670005389427198e9;1.670005389427255e9
algorithm4_10;gemm_1.62e+06;1.62e+06;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670005389427255e9;1.670005389427307e9
algorithm4_10;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670005389427307e9;1.670005389427397e9
algorithm0_12;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670005389427737e9;1.670005389427744e9
algorithm0_12;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.670005389427744e9;1.670005389427757e9
