case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm1;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-10 18:37:59.882696
algorithm1;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);tmp3 = (C D);2022-12-10 18:38:00.882696
algorithm1;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-10 18:38:01.882696
algorithm5;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-10 18:44:39.882696
algorithm5;gemm_1.8e+06;1.8e+06;gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);tmp5 = (tmp2 D);2022-12-10 18:44:40.882696
algorithm5;gemm_1.8e+06;1.8e+06;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-10 18:44:41.882696
algorithm4;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);tmp2 = (B C);2022-12-10 18:42:59.882696
algorithm4;gemm_1.62e+06;1.62e+06;gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);tmp4 = (A tmp2);2022-12-10 18:43:00.882696
algorithm4;gemm_1.62e+06;1.62e+06;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-10 18:43:01.882696
algorithm0;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-10 18:36:19.882696
algorithm0;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);tmp1 = (A B);2022-12-10 18:36:20.882696
algorithm0;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);tmp6 = (tmp1 tmp3);2022-12-10 18:36:21.882696
algorithm3;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);tmp3 = (C D);2022-12-10 18:41:19.882696
algorithm3;gemm_1.2e+05;1.2e+05;gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);tmp5 = (B tmp3);2022-12-10 18:41:20.882696
algorithm3;gemm_1.8e+06;1.8e+06;gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);tmp6 = (A tmp5);2022-12-10 18:41:21.882696
algorithm2;gemm_1.08e+05;1.08e+05;gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);tmp1 = (A B);2022-12-10 18:39:39.882696
algorithm2;gemm_9.72e+04;9.72e+04;gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);tmp4 = (tmp1 C);2022-12-10 18:39:40.882696
algorithm2;gemm_1.62e+06;1.62e+06;gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);tmp6 = (tmp4 D);2022-12-10 18:39:41.882696
