case:concept:name;concept:name;concept:flops;concept:operation;concept:kernel;timestamp:start;timestamp:end
algorithm1;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670693864969823e9;1.670693864970619e9
algorithm1;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml5);1.670693864970619e9;1.670693864970631e9
algorithm1;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml4, ml5, 0.0, ml6);1.670693864970631e9;1.670693864970639e9
algorithm5;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670693864970829e9;1.670693864970874e9
algorithm5;gemm_1.8e+06;1.8e+06;tmp5 = (tmp2 D);gemm!('N', 'N', 1.0, ml4, ml3, 0.0, ml5);1.670693864970874e9;1.670693864970988e9
algorithm5;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670693864970988e9;1.670693864971057e9
algorithm4;gemm_1.08e+05;1.08e+05;tmp2 = (B C);gemm!('N', 'N', 1.0, ml1, ml2, 0.0, ml4);1.670693864971248e9;1.670693864971286e9
algorithm4;gemm_1.62e+06;1.62e+06;tmp4 = (A tmp2);gemm!('N', 'N', 1.0, ml0, ml4, 0.0, ml5);1.670693864971286e9;1.67069386497134e9
algorithm4;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.67069386497134e9;1.670693864971409e9
algorithm0;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670693864971592e9;1.670693864971602e9
algorithm0;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml5);1.670693864971602e9;1.670693864971612e9
algorithm0;gemm_1.08e+05;1.08e+05;tmp6 = (tmp1 tmp3);gemm!('N', 'N', 1.0, ml5, ml4, 0.0, ml6);1.670693864971612e9;1.670693864971654e9
algorithm3;gemm_1.08e+05;1.08e+05;tmp3 = (C D);gemm!('N', 'N', 1.0, ml2, ml3, 0.0, ml4);1.670693864971837e9;1.670693864971848e9
algorithm3;gemm_1.2e+05;1.2e+05;tmp5 = (B tmp3);gemm!('N', 'N', 1.0, ml1, ml4, 0.0, ml5);1.670693864971848e9;1.670693864971888e9
algorithm3;gemm_1.8e+06;1.8e+06;tmp6 = (A tmp5);gemm!('N', 'N', 1.0, ml0, ml5, 0.0, ml6);1.670693864971888e9;1.670693864971961e9
algorithm2;gemm_1.08e+05;1.08e+05;tmp1 = (A B);gemm!('N', 'N', 1.0, ml0, ml1, 0.0, ml4);1.670693864972162e9;1.670693864972172e9
algorithm2;gemm_9.72e+04;9.72e+04;tmp4 = (tmp1 C);gemm!('N', 'N', 1.0, ml4, ml2, 0.0, ml5);1.670693864972172e9;1.670693864972196e9
algorithm2;gemm_1.62e+06;1.62e+06;tmp6 = (tmp4 D);gemm!('N', 'N', 1.0, ml5, ml3, 0.0, ml6);1.670693864972196e9;1.670693864972266e9
